id,branch,message,parent_ids,author,authored_at,committer,committed_at,commit_additions,commit_deletions,changed_files,is_bug_linked,is_fix_related,is_bug_fixing,is_refactoring,file_path,previous_file_path,file_additions,file_deletions,file_id
798be2218f10ab2f89b978bf7bd445d1c866e24a,master,Bump version (0.65.24),['c77da28c02a8b09dbeb8ec4f27306da4b8f9ccf4'],brave-browser-releases,2019-04-05 16:01:23+00:00,brave-browser-releases,2019-04-05 16:01:23+00:00,2,2,2,False,False,False,False,package.json,package.json,1,1,1cafc355-9fc5-11ec-aa98-482ae32cf5b4
a82f11588d6542329fec4228dea83be5df38f8cf,master,Release notes for 0.62.x Hotfix 1Fix #4031,['1b00bf607390842bf531de1ae5e5684630f398b2'],kjozwiak,2019-04-05 18:32:56+00:00,kjozwiak,2019-04-05 18:32:56+00:00,4,0,1,False,True,False,False,CHANGELOG.md,CHANGELOG.md,4,0,1cafea4e-9fc5-11ec-8ff1-482ae32cf5b4
059d7ca431720c4582544e39665bc5bbe31696bc,master,Bump version (0.65.25),['f6a35e62b60fbf178094daf4424c35289c692297'],brave-browser-releases,2019-04-05 20:00:25+00:00,brave-browser-releases,2019-04-05 20:00:25+00:00,2,2,2,False,False,False,False,package-lock.json,package-lock.json,1,1,1cafc37c-9fc5-11ec-a971-482ae32cf5b4
059d7ca431720c4582544e39665bc5bbe31696bc,master,Bump version (0.65.25),['f6a35e62b60fbf178094daf4424c35289c692297'],brave-browser-releases,2019-04-05 20:00:25+00:00,brave-browser-releases,2019-04-05 20:00:25+00:00,2,2,2,False,False,False,False,package.json,package.json,1,1,1cafc355-9fc5-11ec-aa98-482ae32cf5b4
3a1cb47dcca98daad8ee9f0044f074be604b01a4,master,pin brave-core to branch 74.0.3729.61,['059d7ca431720c4582544e39665bc5bbe31696bc'],brave-browser-releases,2019-04-05 20:57:21+00:00,brave-browser-releases,2019-04-05 20:57:21+00:00,2,2,1,False,False,False,False,package.json,package.json,2,2,1cafc355-9fc5-11ec-aa98-482ae32cf5b4
596d415a7fcdaca09db3418676ab19f8802627f2,master,Upgrade from Chromium 74.0.3729.40 to Chromium 74.0.3729.61,['3a1cb47dcca98daad8ee9f0044f074be604b01a4'],mkarolin,2019-04-05 20:56:17+00:00,mkarolin,2019-04-05 20:57:56+00:00,1,1,1,False,False,False,False,package.json,package.json,1,1,1cafc355-9fc5-11ec-aa98-482ae32cf5b4
10a0f719380cfbb49e0c9f4a18ac07a2b9266627,master,Bump version (0.65.26),['059d7ca431720c4582544e39665bc5bbe31696bc'],brave-browser-releases,2019-04-06 12:00:23+00:00,brave-browser-releases,2019-04-06 12:00:23+00:00,2,2,2,False,False,False,False,package-lock.json,package-lock.json,1,1,1cafc37c-9fc5-11ec-a971-482ae32cf5b4
10a0f719380cfbb49e0c9f4a18ac07a2b9266627,master,Bump version (0.65.26),['059d7ca431720c4582544e39665bc5bbe31696bc'],brave-browser-releases,2019-04-06 12:00:23+00:00,brave-browser-releases,2019-04-06 12:00:23+00:00,2,2,2,False,False,False,False,package.json,package.json,1,1,1cafc355-9fc5-11ec-aa98-482ae32cf5b4
0006a0c6b628b04c41b5870a9cbff221e69803a6,master,Bump version (0.65.27),['10a0f719380cfbb49e0c9f4a18ac07a2b9266627'],brave-browser-releases,2019-04-07 14:27:26+00:00,brave-browser-releases,2019-04-07 14:27:26+00:00,2,2,2,False,False,False,False,package-lock.json,package-lock.json,1,1,1cafc37c-9fc5-11ec-a971-482ae32cf5b4
0006a0c6b628b04c41b5870a9cbff221e69803a6,master,Bump version (0.65.27),['10a0f719380cfbb49e0c9f4a18ac07a2b9266627'],brave-browser-releases,2019-04-07 14:27:26+00:00,brave-browser-releases,2019-04-07 14:27:26+00:00,2,2,2,False,False,False,False,package.json,package.json,1,1,1cafc355-9fc5-11ec-aa98-482ae32cf5b4
